Time[s], Channel 6, Channel 7
1.116152000000000, 1, 1
1.116158000000000, 1, 0
1.116166000000000, 1, 1
1.116172000000000, 1, 0
1.116174000000000, 0, 0
1.116180000000000, 0, 1
1.116186000000000, 1, 0
1.116192000000000, 1, 1
1.116200000000000, 1, 0
1.116202000000000, 0, 0
1.116206000000000, 0, 1
1.116214000000000, 0, 0
1.116220000000000, 0, 1
1.116226000000000, 0, 0
1.116232000000000, 0, 1
1.116238000000000, 0, 0
1.116240000000000, 1, 0
1.116242000000000, 0, 0
1.116246000000000, 0, 1
1.116252000000000, 0, 0
1.116256000000000, 1, 0
1.116260000000000, 1, 1
1.116266000000000, 0, 0
1.116272000000000, 0, 1
1.116278000000000, 0, 0
1.116280000000000, 1, 0
1.116286000000000, 1, 1
1.116292000000000, 1, 0
1.116300000000000, 1, 1
1.116306000000000, 0, 0
1.116312000000000, 0, 1
1.116320000000000, 0, 0
1.116326000000000, 0, 1
1.116334000000000, 0, 0
1.116340000000000, 0, 1
1.116346000000000, 0, 0
1.116352000000000, 0, 1
1.116358000000000, 0, 0
1.116360000000000, 1, 0
1.116362000000000, 0, 0
1.116366000000000, 0, 1
1.116372000000000, 0, 0
1.116380000000000, 0, 1
1.116386000000000, 0, 0
1.116392000000000, 0, 1
1.116398000000000, 0, 0
1.116400000000000, 1, 0
1.116406000000000, 1, 1
1.116412000000000, 1, 0
1.116420000000000, 1, 1
1.116426000000000, 0, 0
1.116432000000000, 0, 1
1.116440000000000, 0, 0
1.116442000000000, 1, 0
1.116446000000000, 1, 1
1.116454000000000, 1, 0
1.116460000000000, 1, 1
1.116466000000000, 1, 0
1.116468000000000, 0, 0
1.116472000000000, 0, 1
1.116480000000000, 1, 0
1.116482000000000, 0, 0
1.116486000000000, 0, 1
1.116492000000000, 0, 0
1.116500000000000, 0, 1
1.116506000000000, 0, 0
1.116512000000000, 0, 1
1.116518000000000, 0, 0
1.116526000000000, 0, 1
1.116532000000000, 0, 0
1.116540000000000, 0, 1
1.116546000000000, 0, 0
1.116552000000000, 0, 1
1.116560000000000, 0, 0
1.116566000000000, 0, 1
1.116574000000000, 0, 0
1.116580000000000, 0, 1
1.116586000000000, 0, 0
1.116592000000000, 0, 1
1.116600000000000, 1, 0
1.116602000000000, 0, 0
1.116606000000000, 0, 1
1.116612000000000, 0, 0
1.116616000000000, 1, 0
1.116620000000000, 1, 1
1.116626000000000, 1, 0
1.116632000000000, 1, 1
1.116638000000000, 1, 0
1.116646000000000, 1, 1
1.116652000000000, 1, 0
1.116654000000000, 0, 0
1.116660000000000, 0, 1
1.116666000000000, 0, 0
1.116672000000000, 0, 1
1.116680000000000, 0, 0
1.116686000000000, 0, 1
1.116694000000000, 0, 0
1.116700000000000, 0, 1
1.116706000000000, 0, 0
1.116712000000000, 0, 1
1.116720000000000, 1, 0
1.116722000000000, 0, 0
1.116726000000000, 0, 1
1.116732000000000, 0, 0
1.116740000000000, 0, 1
1.116746000000000, 0, 0
1.116752000000000, 0, 1
1.116760000000000, 0, 0
1.116766000000000, 0, 1
1.116772000000000, 0, 0
1.116780000000000, 0, 1
1.116786000000000, 1, 0
1.116792000000000, 1, 1
1.116800000000000, 1, 0
1.116806000000000, 1, 1
1.116814000000000, 1, 0
1.116820000000000, 1, 1
1.116826000000000, 1, 0
1.116828000000000, 0, 0
1.116832000000000, 0, 1
1.116840000000000, 1, 0
1.116842000000000, 0, 0
1.116846000000000, 0, 1
1.116852000000000, 0, 0
1.116860000000000, 0, 1
1.116866000000000, 0, 0
1.116872000000000, 0, 1
1.116880000000000, 0, 0
1.116886000000000, 0, 1
1.116892000000000, 0, 0
1.116894000000000, 1, 0
1.116900000000000, 1, 1
1.116906000000000, 0, 0
1.116912000000000, 0, 1
1.116920000000000, 0, 0
1.116926000000000, 0, 1
1.116934000000000, 0, 0
1.116940000000000, 0, 1
1.116946000000000, 0, 0
1.116948000000000, 1, 0
1.116952000000000, 1, 1
1.116960000000000, 1, 0
1.116962000000000, 0, 0
1.116966000000000, 0, 1
1.116972000000000, 0, 0
1.116980000000000, 0, 1
1.116986000000000, 0, 0
1.116992000000000, 0, 1
1.117000000000000, 0, 0
1.117006000000000, 0, 1
1.117014000000000, 0, 0
1.117020000000000, 0, 1
1.117026000000000, 0, 0
1.117032000000000, 0, 1
1.117040000000000, 0, 0
1.117048000000000, 0, 1
1.117054000000000, 0, 0
1.117060000000000, 0, 1
1.117066000000000, 0, 0
1.117072000000000, 0, 1
1.117080000000000, 1, 0
1.117082000000000, 0, 0
1.117086000000000, 0, 1
1.117092000000000, 0, 0
1.117100000000000, 0, 1
1.117106000000000, 0, 0
1.117112000000000, 0, 1
1.117120000000000, 0, 0
1.117126000000000, 0, 1
1.117134000000000, 0, 0
1.117140000000000, 0, 1
1.117146000000000, 0, 0
1.117152000000000, 0, 1
1.117160000000000, 0, 0
1.117168000000000, 0, 1
1.117174000000000, 0, 0
1.117180000000000, 0, 1
1.117186000000000, 0, 0
1.117192000000000, 0, 1
1.117200000000000, 1, 0
1.117202000000000, 0, 0
1.117206000000000, 0, 1
1.117212000000000, 0, 0
1.117220000000000, 0, 1
1.117226000000000, 0, 0
1.117232000000000, 0, 1
1.117240000000000, 0, 0
1.117246000000000, 0, 1
1.117254000000000, 1, 0
1.117260000000000, 1, 1
1.117266000000000, 1, 0
1.117272000000000, 1, 1
1.117280000000000, 1, 0
1.117288000000000, 1, 1
1.117294000000000, 0, 0
1.117300000000000, 0, 1
1.117306000000000, 0, 0
1.117314000000000, 0, 1
1.117320000000000, 1, 0
1.117322000000000, 0, 0
1.117326000000000, 0, 1
1.117332000000000, 0, 0
1.117340000000000, 0, 1
1.117346000000000, 0, 0
1.117352000000000, 0, 1
1.117360000000000, 0, 0
1.117366000000000, 0, 1
1.117374000000000, 0, 0
1.117380000000000, 0, 1
1.117386000000000, 0, 0
1.117392000000000, 0, 1
1.117400000000000, 0, 0
1.117408000000000, 0, 1
1.117414000000000, 0, 0
1.117420000000000, 0, 1
1.117426000000000, 0, 0
1.117434000000000, 0, 1
1.117440000000000, 1, 0
1.117442000000000, 0, 0
1.117446000000000, 0, 1
1.117452000000000, 0, 0
1.117460000000000, 0, 1
1.117466000000000, 0, 0
1.117472000000000, 0, 1
1.117480000000000, 0, 0
1.117486000000000, 0, 1
1.117494000000000, 0, 0
1.117500000000000, 0, 1
1.117506000000000, 0, 0
1.117512000000000, 0, 1
1.117520000000000, 0, 0
1.117528000000000, 0, 1
1.117534000000000, 0, 0
1.117540000000000, 0, 1
1.117546000000000, 0, 0
1.117554000000000, 0, 1
1.117560000000000, 1, 0
1.117562000000000, 0, 0
1.117566000000000, 0, 1
1.117572000000000, 0, 0
1.117580000000000, 0, 1
1.117586000000000, 0, 0
1.117592000000000, 0, 1
1.117600000000000, 0, 0
1.117606000000000, 0, 1
1.117614000000000, 0, 0
1.117620000000000, 0, 1
1.117626000000000, 0, 0
1.117632000000000, 0, 1
1.117640000000000, 0, 0
1.117648000000000, 0, 1
1.117654000000000, 0, 0
1.117660000000000, 0, 1
1.117666000000000, 0, 0
1.117674000000000, 0, 1
1.117680000000000, 1, 0
1.117682000000000, 0, 0
1.117686000000000, 0, 1
1.117692000000000, 0, 0
1.117696000000000, 1, 0
1.117700000000000, 1, 1
1.117706000000000, 1, 0
1.117714000000000, 1, 1
1.117720000000000, 1, 0
1.117726000000000, 1, 1
1.117734000000000, 1, 0
1.117740000000000, 1, 1
1.117746000000000, 1, 0
1.117752000000000, 1, 1
1.117760000000000, 1, 0
1.117768000000000, 1, 1
1.117774000000000, 1, 0
1.117780000000000, 1, 1
1.117786000000000, 1, 0
1.117794000000000, 1, 1
1.117800000000000, 1, 0
1.117802000000000, 0, 0
1.117806000000000, 0, 1
1.117812000000000, 0, 0
1.117820000000000, 0, 1
1.117826000000000, 0, 0
1.117834000000000, 0, 1
1.117840000000000, 0, 0
1.117848000000000, 0, 1
1.117854000000000, 0, 0
1.117860000000000, 0, 1
1.117866000000000, 0, 0
1.117872000000000, 0, 1
1.117880000000000, 0, 0
1.117888000000000, 0, 1
1.117894000000000, 0, 0
1.117900000000000, 0, 1
1.117906000000000, 0, 0
1.117914000000000, 0, 1
1.117920000000000, 1, 0
1.117922000000000, 0, 0
1.117926000000000, 0, 1
1.117932000000000, 0, 0
1.117940000000000, 0, 1
1.117946000000000, 0, 0
1.117954000000000, 0, 1
1.117960000000000, 1, 0
1.117968000000000, 1, 1
1.117974000000000, 1, 0
1.117980000000000, 1, 1
1.117986000000000, 0, 0
1.117992000000000, 0, 1
1.118002000000000, 1, 0
1.118008000000000, 1, 1
1.118014000000000, 1, 0
1.118020000000000, 1, 1
1.118026000000000, 1, 0
1.118034000000000, 1, 1
1.118040000000000, 1, 0
1.118042000000000, 0, 0
1.118046000000000, 0, 1
1.118052000000000, 0, 0
1.118060000000000, 0, 1
1.118066000000000, 0, 0
1.118074000000000, 0, 1
1.118080000000000, 1, 0
1.118088000000000, 1, 1
1.118094000000000, 1, 0
1.118100000000000, 1, 1
1.118106000000000, 0, 0
1.118112000000000, 0, 1
1.118122000000000, 0, 0
1.118128000000000, 0, 1
1.118134000000000, 1, 0
1.118140000000000, 1, 1
1.118146000000000, 1, 0
1.118154000000000, 1, 1
1.118160000000000, 1, 0
1.118162000000000, 0, 0
1.118166000000000, 0, 1
1.118172000000000, 0, 0
1.118180000000000, 0, 1
1.118186000000000, 0, 0
1.118194000000000, 0, 1
1.118200000000000, 1, 0
1.118208000000000, 1, 1
1.118214000000000, 1, 0
1.118220000000000, 1, 1
1.118226000000000, 0, 0
1.118232000000000, 0, 1
1.118242000000000, 1, 0
1.118248000000000, 1, 1
1.118254000000000, 1, 0
1.118260000000000, 1, 1
1.118268000000000, 1, 0
1.118274000000000, 1, 1
1.118280000000000, 1, 0
1.118282000000000, 0, 0
1.118286000000000, 0, 1
1.118292000000000, 0, 0
1.118300000000000, 0, 1
1.118306000000000, 0, 0
1.118308000000000, 1, 0
1.118314000000000, 1, 1
1.118320000000000, 0, 0
1.118328000000000, 0, 1
1.118334000000000, 0, 0
1.118340000000000, 0, 1
1.118346000000000, 1, 0
1.118352000000000, 1, 1
1.118362000000000, 1, 0
1.118368000000000, 1, 1
1.118374000000000, 0, 0
1.118380000000000, 0, 1
1.118388000000000, 1, 0
1.118394000000000, 1, 1
1.118400000000000, 1, 0
1.118402000000000, 0, 0
1.118406000000000, 0, 1
1.118412000000000, 0, 0
1.118420000000000, 0, 1
1.118426000000000, 0, 0
1.118428000000000, 1, 0
1.118434000000000, 1, 1
1.118440000000000, 0, 0
1.118448000000000, 0, 1
1.118454000000000, 0, 0
1.118460000000000, 0, 1
1.118466000000000, 1, 0
1.118472000000000, 1, 1
1.118482000000000, 0, 0
1.118488000000000, 0, 1
1.118494000000000, 0, 0
1.118500000000000, 0, 1
1.118508000000000, 0, 0
1.118514000000000, 0, 1
1.118520000000000, 1, 0
1.118522000000000, 0, 0
1.118526000000000, 0, 1
1.118532000000000, 0, 0
1.118540000000000, 0, 1
1.118546000000000, 0, 0
1.118554000000000, 0, 1
1.118560000000000, 1, 0
1.118568000000000, 1, 1
1.118574000000000, 1, 0
1.118580000000000, 1, 1
1.118586000000000, 0, 0
1.118592000000000, 0, 1
1.118602000000000, 0, 0
1.118608000000000, 0, 1
1.118614000000000, 1, 0
1.118620000000000, 1, 1
1.118628000000000, 1, 0
1.118634000000000, 1, 1
1.118640000000000, 1, 0
1.118642000000000, 0, 0
1.118646000000000, 0, 1
1.118652000000000, 0, 0
1.118660000000000, 0, 1
1.118668000000000, 1, 0
1.118674000000000, 1, 1
1.118680000000000, 0, 0
1.118688000000000, 0, 1
1.118694000000000, 0, 0
1.118700000000000, 0, 1
1.118706000000000, 1, 0
1.118712000000000, 1, 1
1.118722000000000, 0, 0
1.118728000000000, 0, 1
1.118734000000000, 1, 0
1.118740000000000, 1, 1
1.118748000000000, 0, 0
1.118754000000000, 0, 1
1.118760000000000, 1, 0
1.118762000000000, 0, 0
1.118766000000000, 0, 1
1.118772000000000, 0, 0
1.118780000000000, 0, 1
1.118788000000000, 1, 0
1.118794000000000, 1, 1
1.118800000000000, 0, 0
1.118808000000000, 0, 1
1.118814000000000, 1, 0
1.118820000000000, 1, 1
1.118826000000000, 1, 0
